time,target,q,dq,tau
2.0,9.999999999999995,-1.9115018168976938,47.80320910734906,122.25982805215585
2.0100000000000002,10.628215181562576,-1.4217154258470637,48.978639105063,117.54299977139385
2.02,11.255810390586255,-0.9206580208644484,50.105740498261525,112.71013931985198
2.0300000000000002,11.88216626637029,-0.4088240143228411,51.18340065416072,107.7660155899199
2.04,12.506664671286083,0.11328154296807103,52.21055572909121,102.71550749304924
2.05,13.128689300804595,0.645143460171482,53.1861917203411,97.56359912498851
2.06,13.747626291714484,1.1862369148577177,54.109345468623545,92.31537482824467
2.07,14.362864827930839,1.7360279709596134,54.97910561018957,86.9760141566029
2.08,14.973797743297098,2.2939741057361758,55.79461347765623,81.55078674666561
2.09,15.579822120784566,2.8595247452228865,56.55506394867106,76.04504710148376
2.1,16.180339887498945,3.4321218076387345,57.259706241584794,70.46422929137327
2.11,16.774758404905818,4.011200254212299,57.90784465735642,64.81384157716252
2.12,17.362491053693564,4.596188646881974,58.498839266967536,59.099460961111845
2.13,17.942957812695596,5.18650971231874,59.032106543676576,53.32672767090412
2.14,18.51558583130145,5.781580911713713,59.50711993949734,47.50133958207698
2.15,19.07980999479093,6.380815015767128,59.92341040534148,41.62904658441346
2.16,19.635073482034315,6.983620684310321,60.28056685431923,35.715644897775405
2.17,20.180828315007417,7.589403049987814,60.57823656774931,29.766971343007413
2.18,20.71653589957993,8.197564305422656,60.816125543484176,23.788897573487134
2.19,21.24166755704261,8.8075042932848,60.9939987862144,17.78732427302191
2.2,21.75570504584947,9.41862109867952,61.11168053947186,11.768175325746483
2.21,22.258141073059523,10.030311643270617,61.16905445910965,5.737391963778919
2.22,22.7484797949738,10.641972280551547,61.16606372809314,-0.2990731016512882
2.23,23.22623730647304,11.252999391676497,61.10271111249496,-6.3352615598187185
2.24,23.690942118573787,11.862789981262933,60.97905895864373,-12.365215385122497
2.25,24.142135623730947,12.470742272577281,60.79522913143479,-18.382982720894688
2.2600000000000002,24.57937254842824,13.076256301515963,60.55140289386814,-24.382623756664657
2.27,25.002221392609183,13.678734508795337,60.247820727937466,-30.35821659306771
2.2800000000000002,25.410264855515784,14.277582329765844,59.884782097050646,-36.303863088682306
2.29,25.803100247513804,14.87220878126805,59.46264515022055,-42.21369468300952
2.3000000000000003,26.180339887498956,15.462027044951263,58.98182636832137,-48.081878189917916
2.31,26.54161148549123,16.046455046478894,58.442800152763084,-53.902621555829
2.32,26.886558510040295,16.624916030048823,57.84609835699295,-59.67017957701398
2.33,27.214840540078875,17.19683912766172,57.19230976128939,-65.37885957035587
2.34,27.526133600877262,17.761659922575408,56.48207949136903,-71.02302699203608
2.35,27.820130483767358,18.31882100638924,55.71610838138305,-76.5971109985976
2.36,28.096541049320386,18.867772529208576,54.895152281933804,-82.09560994492455
2.37,28.355092513679626,19.40797274234654,54.02002131379633,-87.51309681374755
2.38,28.59552971776502,19.938888533027374,53.091579068083234,-92.84422457130898
2.39,28.817615379084508,20.459995950563812,52.11074175364374,-98.08373144394989
2.4,29.02113032590307,20.97078072348921,51.07847729253971,-103.2264461104026
2.41,29.205873713538864,21.470738767134137,49.99580436449267,-108.26729280470408
2.42,29.371663222572618,21.959376681146594,48.86379140124577,-113.2012963246903
2.43,29.51833523877495,22.436212236464936,47.6835555318342,-118.02358694115651
2.44,29.645745014573773,22.900774851262995,46.45626147980579,-122.72940520284135
2.45,29.753766811902757,23.3526060553978,45.1831204134806,-127.31410663251899
2.46,29.842294026289554,23.79125994290165,43.86538875038502,-131.77316630955812
2.47,29.9112392920616,24.216303612072053,42.50436691704047,-136.10218333445505
2.48,29.960534568565432,24.627317592725365,41.101398065331196,-140.29688517092728
2.49,29.990131207314633,25.023896260192547,39.65786674671811,-144.3531318613086
2.5,30.0,25.40564823564862,38.17519754560735,-148.26692011107687
2.5100000000000002,29.99013120731463,25.772196772380845,36.654853673222306,-152.03438723850445
2.52,29.960534568565432,26.123180127614514,35.09833552336697,-155.65181498553383
2.5300000000000002,29.9112392920616,26.458251919529573,33.507179191505735,-159.11563318612383
2.54,29.842294026289558,26.777081469115785,31.882954958621177,-162.42242328845595
2.5500000000000003,29.753766811902754,27.079354126529246,30.227265741345946,-165.56892172752316
2.56,29.645745014573773,27.364771581628226,28.541745509898107,-168.55202314478407
2.57,29.518335238774956,27.633052158382036,26.828057675381068,-171.3687834517037
2.58,29.37166322257262,27.88393109286243,25.08789344803942,-174.01642273416468
2.59,29.20587371353886,28.117160794543334,23.322970168090574,-176.4923279948846
2.6,29.021130325903073,28.332511090651128,21.53502961077928,-178.79405573112945
2.61,28.817615379084515,28.529769453324402,19.725836267327324,-180.91933434519552
2.62,28.595529717765032,28.708741209359147,17.897175603474647,-182.8660663852676
2.63,28.35509251367963,28.86924973233245,16.050852297330124,-184.6323306144522
2.64,28.096541049320386,29.011136616915156,14.188688458270702,-186.21638390594222
2.65,27.820130483767368,29.134261835201617,12.312521828646247,-187.6166629624455
2.66,27.526133600877266,29.23850387490226,10.424203970064498,-188.8317858581749
2.67,27.21484054007887,29.323759859262715,8.525598436045552,-189.86055340189472
2.68,26.886558510040302,29.389945648591205,6.618578932849075,-190.70195031964772
2.69,26.541611485491238,29.43699592329409,4.705027470288716,-191.35514625603588
2.7,26.180339887498953,29.464864248337676,2.7868325043584177,-191.8194965930298
2.71,25.80310024751381,29.47352311907271,0.8658870735032138,-192.09454308552037
2.72,25.41026485551577,29.462963988376444,-1.0559130696265568,-192.18001431297705
2.73,25.0022213926092,29.4331972750855,-2.976671329094238,-192.07582594676813
2.74,24.579372548428218,29.384252353711272,-4.894492137422964,-191.78208083287262
2.75,24.142135623730965,29.31617752544805,-6.807482826322195,-191.29906888992306
2.7600000000000002,23.690942118573766,29.229039970502566,-8.713755494548518,-190.62726682263235
2.77,23.226237306473035,29.122925681791983,-10.611428871058067,-189.7673376509548
2.7800000000000002,22.748479794973797,28.997939380075866,-12.498630171611735,-188.72013005536675
2.79,22.258141073059534,28.85420441060585,-14.373496947001597,-187.48667753898616
2.8000000000000003,21.755705045849467,28.691862621395103,-16.234178921074594,-186.06819740729983
2.81,21.24166755704262,28.511074223227702,-18.07883981673995,-184.4660895665358
2.82,20.716535899579945,28.312017631546116,-19.905659168158497,-182.68193514185452
2.83,20.180828315007442,28.09488929037286,-21.712834117325734,-180.71749491672358
2.84,19.635073482034322,27.8599034784401,-23.498581193275868,-178.57470759501348
2.85,19.079809994790928,27.607292097718588,-25.26113807215117,-176.2556878875302
2.86,18.51558583130148,27.33730444455459,-26.998765316399883,-173.7627244248713
2.87,17.94295781269561,27.050206963640726,-28.709748091386448,-171.09827749865667
2.88,17.36249105369356,26.746282985063523,-30.39239785772036,-168.26497663339126
2.89,16.774758404905832,26.42583244468719,-32.04505403763331,-165.2656179912945
2.9,16.180339887498956,26.089171588149586,-33.66608565376065,-162.10316161273494
2.91,15.579822120784595,25.73663265876249,-35.2538929387099,-158.78072849492497
2.92,14.973797743297109,25.36856356962421,-36.80690891382786,-155.30159751179565
2.93,14.362864827930833,24.985327560268125,-38.323600935608624,-151.6692021780765
2.94,13.747626291714514,24.587302838185963,-39.80247220821641,-147.88712726077836
2.95,13.128689300804606,24.174882205579657,-41.24206326063049,-143.95910524140834
2.96,12.506664671286078,23.748472671710108,-42.64095338695496,-139.88901263244765
2.97,11.882166266370284,23.308495051225393,-43.99776204847148,-135.6808661516519
2.98,11.255810390586268,22.855383548864875,-45.31115023605189,-131.33881875804065
2.99,10.62821518156257,22.389585330949014,-46.579821791586,-126.86715555341152
3.0,7.347880794884118e-15,21.91156008407781,-47.80252468712062,-122.27028955346219
3.0100000000000002,-0.6282151815625904,21.371779561473335,-53.97805226044746,-617.5527573326838
3.02,-1.255810390586253,20.77597711741413,-59.58024440592068,-560.2192145473217
3.0300000000000002,-1.8821662663703038,20.12959598022084,-64.6381137193288,-505.7869313408122
3.04,-2.5066646712860634,19.437794145513926,-69.18018347069149,-454.2069751362694
3.0500000000000003,-3.1286893008046275,18.705450200193702,-73.23439453202234,-405.42110613308455
3.06,-3.747626291714499,17.93716995190051,-76.82802482931926,-359.36302972969315
3.0700000000000003,-4.362864827930854,17.137293747218564,-79.98762046819485,-315.9595638875579
3.08,-4.973797743297095,16.309904370129065,-82.73893770895008,-275.13172407552236
3.09,-5.579822120784581,15.458835420181384,-85.10689499476815,-236.79572858180734
3.1,-6.180339887498941,14.58768007752364,-87.11553426577431,-200.8639271006167
3.11,-6.774758404905818,13.699800169306558,-88.78799082170818,-167.2456555933859
3.12,-7.362491053693545,12.798335459040123,-90.14647102664355,-135.84802049353698
3.13,-7.942957812695596,11.886213087236662,-91.21223718034604,-106.57661537024785
3.14,-8.515585831301465,10.966157098113886,-92.00559891227756,-79.33617319315249
3.15,-9.079809994790914,10.04069799325631,-92.54591048575749,-54.03115734799189
3.16,-9.635073482034311,9.112182258944257,-92.85157343120535,-30.566294544786274
3.17,-10.180828315007428,8.182781819358516,-92.9400439585741,-8.847052736874844
3.18,-10.716535899579931,7.254503373059519,-92.82784462989966,11.219932867443845
3.19,-11.241667557042609,6.329197575027225,-92.53057980322941,29.726482667024015
3.2,-11.755705045849457,5.40856803113781,-92.06295438894139,46.76254142880248
3.21,-12.258141073059521,4.494180076252402,-91.43879548854089,62.41589004005061
3.22,-12.748479794973811,3.587469311108974,-90.67107651434276,76.77189741981272
3.23,-13.226237306473024,2.689749876949475,-89.77194341594988,89.91330983928822
3.24,-13.690942118573783,1.8022224502888138,-88.75274266606614,101.92007498837381
3.25,-14.142135623730958,0.9259819434499055,-87.62405068389083,112.86919821753156
3.2600000000000002,-14.579372548428235,0.062024899458983596,-86.39570439909218,122.83462847986505
3.27,-15.002221392609192,-0.7887434273722821,-85.07683268312657,131.88717159656096
3.2800000000000002,-15.410264855515782,-1.6255023113466058,-83.67588839743236,140.0944285694202
